Blog	fix	address	social	university	talked	comfort	direction	sold	term	kinda	taught	skin	gotta	enter	considered	orange	bill	blame	whose	besides	common	lesson	report	odd	february	effect	presents	slept	uncle	fat	trouble	sell	cost	fantastic	tells	among	restaurant	decision	colors	setting	possibly	unique	bird	article	broke	fully	included	mountain	joined	becoming	crap	tough	various	milk	soft	crowd	riding	similar	headed	miles	knowledge	cheap	remind	reminds	garden	kiss	cd	spread	till	heat	daughter	aware	album	checked	sugar	willing	goal	consider	bags	doctor	built	smiling	scene	product	cousin	performance	animal	island	shoot	losing	gifts	advice	match	heads	related	pages	grade	pants	master	eve	swimming	yours	agree	jesus	clearly	picking	language	students	national	crying	interview	fans	ladies	holidays	release	opinion	tickets	wet	lie	north	blogger	attend	vacation	failed	allow	media	halloween	digital	videos	paint	breaking	health	challenge	issue	teeth	mixed	expected	via	checking	suddenly	harder	ending	bringing	dogs	battle	inspired	seat	joke	flight	sight	official	birds	answers	neither	runs	east	artist	stone	account	projects	shut	remembered	classes	edge	festival	sets	friendly	hide	seven	magazine	career	weight	thus	episode	describe	quote	everybody	hadn	net	pizza	feelings	fellow	degrees	happiness	jack	plenty	schedule	plays	french	desk	otherwise	anniversary	success	sand	mid	begins	storm	blogs	community	path	camp	player	credit	tall	cheese	midnight	river	education	van	jobs	circle	pure	pack	powerful	balance	shots	response	available	handle	vs	boxes	lake	sees	personally	prepared	barely	training	receive	cleaning	giant	google	drinks	golden	hat	chair	research	ordered	police	finger	adventure	babies	parties	ah	sex	impossible	packed	distance	normally	feed	tune	rolling	sale	paul	terrible	becomes	calm	goodness	position	honor	musical	forgotten	hits	likely	ears	numbers	ability	wanna	press	led	boss	fighting	tight	listened	noise	tom	states	student	private	society	james	force	disappointed	text	bathroom	hearts	arm	exact	traffic	reached	sometime	guilty	rare	vote	forth	minor	em	killed	member	shower	constantly	rocks	ain	reminded	loose	confused	typical	movement	progress	plastic	review	blow	jam	jeans	grew	culture	library	pics	science	dust	beer	model	decent	san	lessons	officially	directly	selling	damn	folks	butter	staff	aside	topic	shake	signed	false	easter	fourth	cash	deserve	leading	higher	copy	birth	surgery	candy	ups	eight	paying	suit	obvious	salt	professional	youtube	mary	attended	driver	york	cooking	provide	worried	laid	valentine	couch	sisters	lets	blast	indeed	classic	shit	cancer	delicious	value	pro	mission	items	excuse	proper	toy	released	creating	piano	rough	waste	inspiration	bread	lyrics	cell	evil	lord	pulling	considering	holds	yard	faster	lying	sports	kinds	adventures	santa	download	design	painted	doors	angry	meal	visited	prefer	walks	attitude	animals	puts	rule	wore	suppose	option	windows	therefore	role	vision	clock	despite	compared	traditional	degree	avoid	faith	correct	recommend	pleasure	studio	cried	raise	solid	drama	grateful	hungry	activities	plane	target	covers	entry	accident	younger	trips	sang	awake	aunt	concept	gain	waited	bank	somebody	impressed	swing	drunk	sides	celebration	families	fool	juice	attack	walls	serve	overall	pet	curious	appear	experienced	print	hung	ipod	tag	continues	saved	nap	threw	precious	ignore	task	shirts	saving	web	adorable	ticket	tend	necessary	angel	dates	stood	falls	drawing	highly	freedom	modern	stress	bowl	q	finds	stomach
Life According to Me	1	0	1	0	2	3	6	1	1	17	0	3	1	0	0	0	2	0	0	0	1	9	0	3	0	1	0	0	2	0	2	0	1	0	3	0	0	5	3	1	2	0	0	0	1	0	1	0	0	1	2	1	2	1	0	0	2	0	2	1	0	2	2	0	0	3	1	1	0	0	1	1	0	1	2	1	0	3	3	3	0	3	0	3	1	0	0	0	2	1	0	3	3	1	0	0	0	7	1	1	2	2	0	3	2	0	0	1	0	0	1	0	1	1	0	0	2	0	0	1	0	1	2	3	4	0	1	0	0	2	1	1	1	1	0	1	1	0	0	2	0	1	1	0	1	0	4	2	2	4	0	0	3	0	2	0	0	0	0	0	1	0	9	1	0	1	1	3	0	0	0	2	1	0	1	1	2	1	0	0	1	3	0	2	0	0	6	2	0	1	3	0	2	3	0	0	3	0	0	0	2	1	1	0	0	0	0	1	1	2	2	0	3	3	0	0	2	0	1	2	2	1	0	1	2	0	0	1	2	0	0	0	0	0	0	1	1	1	0	5	1	0	0	2	4	2	3	2	0	0	0	1	0	1	1	1	0	1	0	0	1	0	2	1	0	6	0	0	0	4	3	1	0	0	0	1	3	0	1	1	1	0	3	3	0	0	0	2	2	2	1	0	0	3	1	0	1	1	1	1	0	0	6	0	2	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	3	0	7	0	0	1	0	0	1	2	0	1	0	2	0	1	0	2	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	1	0	3	0	1	0	0	2	1	0	2	0	0	3	0	1	4	0	4	3	0	0	0	3	1	2	1	0	0	2	0	1	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	1	2	1	5	3	0	1	0	1	0	0	0	1	3	4	0	1	1	0	0	0	1	0	0	0	0	3	0	1	3	2	1	4	0	2	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	2	0	0	5	0	2	1	0	0	2	2	4	3	0	0	1	1	1	2	0	4	1	0	1	0	1	0	0	0	2	0	1
Web Science and Digital Libraries Research Group	2	29	158	232	39	0	11	2	48	0	19	0	0	4	22	1	10	5	13	1	25	1	126	2	18	24	8	0	3	2	3	2	20	4	1	27	8	5	4	5	9	19	0	74	7	10	45	1	7	5	1	3	91	0	7	37	0	43	16	3	39	3	0	0	0	0	21	38	4	4	2	15	0	6	0	3	39	13	2	1	27	0	0	22	0	59	2	3	0	15	1	14	12	3	74	227	1	0	29	0	1	3	3	0	9	1	75	93	84	0	17	15	2	0	36	6	1	0	3	18	1	57	0	5	49	120	2	482	52	0	7	13	27	26	0	4	17	51	9	1	4	4	13	1	2	18	0	1	4	2	7	4	4	12	4	3	2	1	35	94	2	2	35	28	1	38	6	1	5	9	42	9	27	3	23	9	4	2	26	0	6	11	1	3	3	0	21	7	7	1	14	6	14	1	1	8	4	13	70	40	15	5	1	0	1	0	3	17	37	7	5	2	1	2	2	1	91	168	28	27	17	4	3	11	11	2	20	12	2	4	158	3	0	16	14	291	3	11	0	5	0	5	7	3	1	4	7	3	9	0	1	1	9	1	10	0	1	20	4	2	5	3	23	0	22	30	1	22	15	0	1	1	2	8	4	26	37	19	27	14	8	3	117	0	0	1	10	17	13	6	1	1	3	4	9	1	0	21	1	3	0	0	8	2	4	4	9	17	0	36	0	1	0	1	15	234	0	95	0	0	92	3	48	6	4	24	1	1	3	0	10	2	64	0	4	2	2	7	1	8	7	22	50	0	3	3	2	4	0	2	4	2	13	33	8	111	3	19	2	74	1	0	0	0	3	5	1	5	7	0	3	19	77	1	15	11	0	6	2	38	39	0	1	1	4	2	0	1	0	0	5	7	4	0	5	0	7	5	1	6	21	37	0	1	2	0	5	9	6	2	0	6	12	0	2	15	1	14	15	2	6	7	31	16	24	13	1	22	9	5	3	2	15	1	0	7	0	25	3	39	4	8	2	1	3	0	0	2	26	9	0	4	1	2	0	0	1	9	2	0	0	8	3	10	9	1	2	11	6	14	0	1	43	3	8	2	2	3	7	31	1	7	1024	0	0	6	12	9	6	1	0	5	11	4	10	2	2	37	4	0
Captain Dog's World of Love	2	1	1	4	0	2	2	5	9	0	0	4	1	0	1	2	1	0	2	0	7	6	7	3	8	3	16	1	6	13	6	1	1	20	5	0	36	3	0	2	10	0	9	2	3	4	0	1	6	3	9	1	2	13	6	0	8	5	0	9	2	2	0	2	28	7	1	4	0	19	14	2	10	3	11	1	3	1	4	5	7	0	4	1	4	2	3	8	1	3	5	0	7	2	3	1	0	12	0	8	9	0	2	1	1	4	11	2	3	0	0	3	23	5	0	1	3	19	4	11	0	0	0	2	3	3	9	0	0	1	4	6	3	2	8	5	3	1	6	1	0	0	1	5	2	1	5	0	8	1	1	12	1	2	3	18	1	2	0	1	4	0	0	4	66	1	17	2	1	1	3	7	4	1	1	0	4	6	1	9	1	2	15	1	0	20	0	3	4	8	0	4	6	7	3	4	5	1	4	4	2	1	3	1	18	7	15	2	1	8	1	2	1	2	2	0	1	11	1	3	2	3	5	1	3	1	4	3	4	4	6	8	8	7	2	4	2	6	1	7	1	4	1	0	1	4	2	7	7	2	6	2	2	1	3	3	2	12	0	4	1	5	1	8	10	3	1	4	1	2	2	10	0	4	3	1	5	2	0	12	4	2	0	0	1	1	0	1	3	2	0	7	3	0	0	5	4	0	9	0	0	2	4	5	1	0	0	2	2	3	2	3	6	1	2	0	5	0	3	100	0	20	12	0	2	1	1	1	1	3	5	2	2	2	1	2	21	2	4	3	1	0	1	13	1	1	0	1	0	3	0	3	3	3	1	4	2	1	12	2	2	4	0	0	1	0	0	7	5	3	4	20	1	3	1	2	0	5	2	2	0	1	3	2	2	10	1	0	0	2	1	7	3	1	4	4	1	0	2	3	2	1	10	0	0	22	38	1	6	3	7	1	2	2	0	2	2	2	1	2	2	6	0	2	0	2	0	4	1	5	0	0	2	0	0	2	4	4	1	0	1	1	0	0	3	4	2	0	1	1	0	21	7	6	3	4	2	2	1	0	3	1	1	5	3	2	3	3	1	1	1	0	0	1	0	0	0	0	1	0	3	0	3	0	2	5	1	1	2	0	2	2	2	0	6	0	4	4	0	2
This Is My Life	1	2	0	0	6	0	0	1	1	0	1	11	1	0	0	2	0	1	0	2	1	2	5	0	0	0	2	3	22	3	4	1	0	1	7	1	3	1	2	1	0	0	0	0	8	1	0	1	1	0	3	4	0	3	2	1	0	0	10	2	2	1	3	1	1	0	0	1	0	0	1	0	1	0	2	0	0	0	2	0	3	8	2	0	0	0	2	0	1	0	1	0	0	3	2	2	8	3	1	0	2	1	0	0	0	2	2	0	0	8	0	3	2	0	0	1	4	1	0	1	1	2	1	0	0	0	7	0	0	1	1	0	0	0	7	0	1	1	4	1	0	0	2	5	0	0	7	2	1	0	0	0	1	1	0	0	0	1	0	4	1	1	2	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	3	1	0	1	0	28	4	2	1	1	4	1	2	1	0	0	3	3	0	0	0	0	0	0	2	2	0	6	0	2	1	0	1	11	0	0	5	3	1	1	1	2	9	1	0	0	1	2	1	2	0	0	1	0	1	1	0	1	4	2	0	31	2	0	0	0	0	0	0	1	0	0	3	1	2	1	2	2	1	0	0	1	0	0	1	0	0	0	0	1	1	2	1	0	0	1	4	3	0	1	1	1	0	7	2	5	4	0	2	0	0	4	2	0	1	0	0	2	1	2	0	3	1	1	4	1	0	0	1	1	0	0	4	0	0	0	2	23	3	2	1	3	0	3	0	3	0	1	0	0	0	7	0	0	4	0	0	3	0	0	0	0	0	0	0	3	6	1	1	1	0	0	8	0	0	0	0	2	0	1	0	6	0	5	1	1	3	15	0	0	0	2	0	0	0	5	0	3	0	1	0	0	0	1	1	0	1	0	0	1	1	4	0	0	12	0	0	2	0	0	2	0	0	2	2	0	0	0	0	3	1	6	3	1	2	0	0	1	0	0	1	0	1	3	0	0	0	0	8	0	0	0	8	1	0	1	7	1	0	1	3	0	0	0	1	1	3	3	7	1	0	2	0	0	2	0	0	2	1	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	3	2	0	0	4	0	0	15	1	0	1	2	0	0	0	0	0	1	0	0	2	0	1	1
dyshanhics	0	4	1	0	11	1	0	2	1	4	0	3	8	0	2	0	7	7	0	4	1	0	1	0	1	0	3	0	0	9	0	3	1	0	1	0	7	1	8	0	1	0	4	0	0	0	1	0	1	2	18	0	0	2	2	0	1	1	0	1	2	4	0	3	1	1	1	0	0	7	4	1	2	2	4	2	2	0	0	4	2	0	2	3	7	0	0	0	3	1	3	6	2	1	0	2	2	1	1	3	0	0	0	0	2	1	0	0	1	8	3	1	0	3	0	2	1	0	0	2	7	1	5	5	1	1	4	0	1	0	1	2	0	0	0	1	1	10	2	5	4	1	1	1	0	1	1	0	3	2	0	0	0	0	1	2	1	0	8	1	1	1	2	1	0	1	1	0	0	0	3	8	0	1	0	2	7	0	1	1	0	0	3	3	0	0	0	0	2	1	0	0	0	0	0	1	0	9	2	0	0	0	5	0	4	0	0	1	0	3	1	1	4	0	1	0	1	2	4	4	5	1	2	1	0	1	2	1	2	0	2	2	0	0	1	2	3	0	3	0	0	0	4	1	0	2	1	4	1	0	0	1	0	0	1	0	1	2	0	2	1	0	1	0	2	1	2	0	1	4	0	0	0	0	2	2	0	1	0	0	0	1	0	2	1	2	2	13	2	0	0	3	7	2	0	0	2	0	2	3	0	1	1	1	1	3	0	0	0	1	0	1	1	4	0	0	3	0	0	0	0	3	0	0	0	0	4	37	1	3	0	1	2	0	2	2	0	0	1	0	0	0	1	5	0	3	1	0	3	2	0	2	0	2	0	3	0	0	14	0	3	2	2	4	2	2	0	0	0	23	2	6	1	0	0	0	3	0	2	0	1	0	0	3	0	0	5	0	0	1	3	0	0	0	3	1	4	1	0	0	0	4	0	0	0	1	1	0	0	0	0	0	4	1	15	3	2	3	0	0	0	0	0	2	8	1	2	4	0	0	0	2	0	1	0	0	4	3	1	4	0	0	5	6	2	0	0	6	0	4	0	0	1	0	0	6	0	1	0	2	0	4	1	0	2	0	0	1	0	0	1	1	0	0	0	1	3	0	3	0	0	0	1	0	1	1	0	0	3	0	0	2	1	1	0	2	4	0	0	3
BOTOX POPULI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	12	0	0	0	0	0	4	0	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	4	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	3	0	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	2	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0
Foxy Starbuck	3	2	1	0	12	1	2	3	1	8	0	2	1	0	0	6	0	3	1	2	1	3	6	2	0	2	2	4	1	13	4	1	2	12	1	2	0	0	2	6	3	0	2	7	3	0	1	2	0	1	12	0	1	4	0	0	0	3	3	2	1	1	7	8	0	2	1	5	0	0	4	1	7	3	6	4	9	1	0	0	1	1	1	3	5	1	1	1	3	9	1	2	2	1	1	0	2	4	1	5	6	1	4	1	3	1	1	0	2	4	8	4	2	4	3	1	2	1	3	1	4	2	10	3	2	1	12	0	0	0	1	0	2	1	2	14	0	4	6	1	6	1	2	4	0	2	10	0	1	2	9	3	2	2	2	10	3	7	3	0	2	6	0	0	3	2	0	1	1	5	0	46	2	6	2	3	3	14	0	0	0	1	1	0	3	2	1	3	3	2	5	7	0	0	1	1	1	8	2	0	3	1	2	0	13	2	1	1	0	1	0	0	1	1	1	1	1	1	5	1	2	6	1	2	0	4	1	0	4	0	4	1	1	2	2	3	1	5	1	5	2	7	1	2	1	1	0	2	5	1	4	1	0	5	0	1	3	1	4	2	0	0	4	1	2	0	7	1	2	2	4	1	1	1	1	4	0	1	3	1	1	1	0	0	3	4	4	2	4	0	2	0	8	3	0	2	5	4	6	1	3	1	3	0	0	0	0	4	4	0	4	0	3	4	0	2	2	0	1	0	2	0	6	1	5	0	2	0	0	10	1	1	3	1	3	1	12	0	2	0	2	3	2	2	3	0	1	0	5	8	3	6	3	0	1	0	2	1	9	1	0	1	0	7	6	8	0	17	3	0	5	1	0	1	1	0	1	4	2	1	1	1	1	5	2	7	16	4	1	4	3	1	1	18	0	2	1	2	1	1	2	0	2	3	0	0	3	1	0	4	0	3	1	1	0	1	1	3	1	1	6	0	2	1	1	3	1	1	0	0	3	2	1	0	0	6	10	0	2	1	1	0	0	1	2	6	2	7	0	2	5	1	1	1	1	2	1	1	2	1	6	1	1	3	3	3	1	0	2	1	7	14	2	2	1	5	4	1	0	0	2	0	3	5	3	0	1	4	0	3	0	2	0	0	1	2	7	0	0	2
A visit to King Hearthur's Court	0	0	1	2	0	0	0	0	2	0	0	1	0	2	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	1	0	1	1	0	3	0	2	0	1	1	0	0	0	1	2	1	0	1	2	0	1	0	1	0	1	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	2	0	1	4	0	0	0	0	1	0	5	3	3	0	1	1	3	0	1	2	0	2	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	1	3	2	0	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	37	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	3	0	0	1	4	0	1	1	0	1	0	0	3	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	4	0	1	2	2	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	3	0	0	0	1	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	1	0	0	1	0	0	20	0	1	0	0	0	0	2	0	0	0	0	0	1	0	12	0	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	3	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1
My Photography Voyage	0	0	0	2	0	0	0	1	1	1	0	0	1	2	1	1	0	1	0	0	0	1	2	1	1	5	0	1	4	4	0	2	2	0	0	1	2	0	0	0	0	1	3	4	1	1	1	1	1	2	9	0	1	4	1	0	1	0	0	0	0	2	0	0	0	4	0	0	1	1	4	0	3	0	0	1	1	1	2	1	0	0	0	3	2	0	0	0	3	0	3	0	0	0	0	0	1	1	1	0	2	0	2	0	1	1	4	2	1	0	1	3	0	5	2	0	2	1	0	1	0	0	1	1	0	4	0	1	0	4	0	2	1	1	1	3	0	0	0	4	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	4	2	2	0	6	1	3	0	0	0	0	0	0	2	3	1	2	0	2	1	2	1	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0	1	3	0	1	0	2	1	1	1	0	3	0	0	0	0	15	0	1	1	2	0	0	0	1	0	0	3	2	2	1	1	1	0	1	0	0	0	0	1	2	0	1	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	1	0	1	0	0	0	1	0	0	4	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	5	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	6	10	0	0	0	3	0	1	0	1	1	3	21	0	0	3	0	0	1	0	6	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	1	0	3	1	4	0	0	0	1	12	0	1	0	7	0	1	0	0	0	1	1	4	0	2	0	2	0	1	2	0	2	0	2	0	0	1	0	2	2	0	0	0	0	1	6	4	0	0	0	2	0	0	0	2	0	0	2	0	2	3	1	0	1	0	3	0	4	0	1	0	0	3	0	0	1	0	0	0	1	1	0	1	1	1	0	0	3	2	0	1	0	0	0	0	2	0	1	0	0	0	0	2	0	2	0	0	1	0	2	1	2	0	1	0	0	0	8	1	0	1	0	0	2	0	1	3	3	0	3	0	2	1	0	0	0	2	2	1	0	1	0	20	0	1
Nose Over Tail	3	4	8	10	14	9	0	3	0	9	4	14	12	1	2	3	7	2	0	8	2	0	0	1	2	0	3	4	2	2	3	4	3	0	1	1	0	2	2	1	2	0	7	9	6	3	4	2	1	1	1	1	1	0	1	1	2	3	0	3	0	2	5	4	1	10	1	0	10	1	2	1	9	1	1	0	0	1	5	5	3	2	4	3	1	0	0	23	2	14	2	3	5	3	1	2	2	8	4	0	6	1	1	3	3	1	1	7	0	13	4	0	0	0	2	0	4	4	3	3	0	1	10	2	0	0	0	0	0	1	2	6	0	3	5	2	1	2	0	2	1	4	3	10	1	1	2	1	2	2	0	8	1	1	0	3	1	1	0	1	8	3	10	3	2	2	1	8	4	4	2	5	0	0	1	0	3	0	0	5	2	0	3	18	0	3	3	1	0	3	0	5	2	5	1	2	0	0	0	2	2	0	3	1	6	3	5	3	3	1	6	3	2	0	0	0	0	1	2	0	0	4	1	3	0	5	1	0	3	2	0	5	0	2	4	13	0	4	1	0	3	2	0	29	6	1	5	5	0	0	1	0	0	4	1	1	3	0	3	0	1	1	2	1	0	3	7	0	0	2	6	3	2	1	1	4	5	3	2	1	2	0	3	4	2	4	2	2	0	0	8	1	0	0	2	2	1	0	3	9	0	0	1	1	2	2	0	0	0	0	1	6	9	8	0	1	0	2	1	4	1	0	2	2	1	0	2	1	0	4	2	0	1	3	0	0	1	4	3	4	1	2	1	3	2	0	3	2	5	2	1	0	1	0	0	0	0	30	2	0	2	7	4	15	1	2	0	0	0	35	1	0	0	2	0	1	1	1	0	2	2	0	2	9	1	0	0	4	3	3	3	1	0	1	1	0	0	1	0	0	0	1	3	0	5	2	2	2	7	1	1	1	5	2	0	1	3	0	0	0	1	0	1	0	3	3	2	0	1	2	1	9	0	1	0	2	1	0	6	1	2	3	3	1	3	3	3	1	0	0	1	1	1	1	0	9	1	1	4	2	4	1	3	1	0	2	0	0	3	1	5	8	0	0	6	2	3	3	4	1	0	4	0	1	4	0	2	2	1	3	6	3	2	1	3	6	0	1	2	7
posts-its	1	3	2	17	0	0	0	3	4	2	3	2	0	2	2	0	0	1	2	8	2	5	1	0	3	3	1	0	3	3	3	0	0	4	2	11	5	1	1	1	0	12	0	4	0	1	0	4	3	1	0	1	9	2	3	2	2	6	0	0	2	2	1	4	4	13	6	0	5	0	1	2	62	0	0	0	1	1	1	0	1	1	3	0	11	35	0	2	2	0	0	1	0	0	3	1	0	1	1	3	1	9	3	0	6	0	19	9	16	1	4	9	0	0	10	2	1	0	6	1	0	1	0	2	1	5	0	6	15	0	3	6	3	4	2	5	1	2	1	6	0	9	1	3	6	1	2	0	0	3	20	2	2	1	2	1	19	0	0	3	14	1	2	0	15	3	2	3	1	3	8	1	1	22	2	1	1	0	21	0	4	1	0	2	1	1	0	1	7	0	2	2	7	1	5	3	0	0	2	0	2	3	1	4	1	1	3	2	1	3	1	5	0	10	1	0	4	2	2	2	0	0	4	0	0	0	3	3	0	0	0	2	6	0	0	4	0	4	1	1	1	1	19	1	2	0	1	0	0	3	0	1	1	1	13	4	0	0	0	8	0	5	1	0	0	1	12	0	1	5	1	1	11	0	0	2	11	3	6	0	0	3	0	0	0	2	1	0	1	1	1	1	5	0	2	1	0	10	0	1	9	8	0	1	2	8	0	1	6	6	0	3	2	0	3	4	4	4	0	1	1	0	3	8	2	1	2	36	0	1	2	1	2	1	0	0	0	4	1	0	3	3	5	11	5	5	0	18	1	16	2	0	1	14	0	0	9	0	1	0	1	0	1	0	2	0	0	0	8	0	5	8	2	1	0	0	0	0	3	26	2	6	1	2	0	1	47	1	1	0	1	3	3	0	4	0	6	0	1	1	3	5	0	1	2	2	0	9	0	0	2	1	0	4	0	0	0	1	4	0	0	4	3	3	2	1	0	5	1	0	1	2	1	1	91	0	1	6	0	0	0	8	3	10	0	9	1	6	8	3	0	1	7	2	0	1	0	3	0	2	1	4	0	3	4	3	0	0	1	1	0	0	0	0	1	0	0	1	0	2	1	1	0	3	2	1	1	5	0	0	1	6	1	2	4	2	0	1	4	3
The Paranoid Mod	3	0	0	0	1	1	0	1	2	0	0	0	0	2	1	1	4	1	3	0	2	2	3	6	1	2	1	0	0	2	0	1	0	3	3	2	0	1	0	1	4	0	1	5	1	0	1	2	0	0	0	2	3	2	1	1	2	2	2	5	1	1	1	3	2	0	3	0	3	0	1	1	15	1	3	1	0	0	3	0	0	0	1	2	0	1	0	2	0	0	0	0	7	1	3	0	0	5	1	1	0	0	4	3	9	1	1	2	2	0	1	6	0	0	1	0	3	0	1	2	0	0	0	0	3	2	0	1	1	2	0	1	0	0	1	1	0	4	1	3	3	0	3	1	1	1	8	2	0	0	0	0	1	2	0	1	3	2	1	0	1	0	1	3	5	0	2	2	2	5	2	1	2	1	0	5	2	2	6	0	0	1	1	0	3	3	1	3	9	1	3	1	0	0	0	0	2	0	2	0	1	0	0	0	0	1	7	2	2	1	0	1	0	2	0	1	0	2	0	3	0	0	1	1	1	0	4	0	0	2	5	0	1	6	1	1	0	5	2	0	0	1	1	3	0	2	1	1	1	10	3	0	4	3	0	0	3	0	1	5	2	1	0	0	1	0	1	2	1	3	2	0	1	2	4	0	0	0	0	2	1	0	2	1	1	3	0	0	1	0	2	1	0	2	0	3	4	2	1	1	2	4	1	1	0	1	1	1	0	0	1	1	0	1	4	2	1	0	3	14	0	4	0	0	1	0	2	1	0	0	0	0	0	4	2	0	1	2	2	0	2	1	2	0	0	0	1	0	0	1	1	0	0	2	1	1	1	8	1	0	0	0	0	0	1	0	2	5	4	15	0	3	2	1	0	1	1	2	1	0	0	2	0	1	0	1	8	0	0	0	0	2	0	2	0	1	1	2	0	0	5	1	3	0	5	2	1	0	0	1	3	1	4	0	2	2	1	2	0	0	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	7	1	2	0	1	0	0	0	0	0	1	1	0	1	1	7	2	0	0	0	0	3	2	0	0	1	0	3	1	3	0	2	3	0	0	0	1	0	3	0	0	0	2	0	2	1	1	0	1	1	1	4	0	0	1	0	0	1	0	1
